adres_id,kod_poczt,miasto,wojewodztwo,ulica,nr_domu,nr_mieszkania
72,60-967,Poznan,Wielkopolskie,Brzozowa,48,47
73,90-001,Lodz,Lodzkie,Lakowa,55,13
74,90-001,Lodz,Lodzkie,Polna,77,14
75,01-464,Warszawa,Mazowieckie,Polna,33,35
76,40-203,Katowice,Slaskie,Lipowa,52,48
77,65-751,Zielona Gora,Lubuskie,Lipowa,21,18
78,31-403,Krakow,Malopolskie,Sosnowa,97,29
79,20-218,Lublin,Lubelskie,Kolejowa,41,5
80,10-900,Olsztyn,Warminsko-Mazurskie,Koscielna,30,40
81,60-967,Poznan,Wielkopolskie,Brzozowa,19,33
82,10-900,Olsztyn,Warminsko-Mazurskie,Lakowa,23,26
83,71-004,Szczecin,Zachodnio-Pomorskie,Lipowa,54,24
84,15-102,Bialystok,Podlaskie,Akacjowa,82,4
85,51-416,Wroclaw,Dolnoslaskie,Ogrodowa,78,43
86,10-900,Olsztyn,Warminsko-Mazurskie,Lipowa,47,22
87,01-464,Warszawa,Mazowieckie,Ogrodowa,24,42
88,45-309,Opole,Opolskie,Polna,28,6
89,51-416,Wroclaw,Dolnoslaskie,Sloneczna,84,31
90,25-900,Kielce,Swietokrzyskie,Parkowa,90,34
91,20-218,Lublin,Lubelskie,Krotka,12,17
92,01-464,Warszawa,Mazowieckie,Lakowa,2,48
93,71-004,Szczecin,Zachodnio-Pomorskie,Polna,15,32
94,01-464,Warszawa,Mazowieckie,Lipowa,92,9
95,40-203,Katowice,Slaskie,Krotka,87,18
96,85-461,Bydgoszcz,Kujawsko-Pomorskie,Koscielna,95,50
97,10-900,Olsztyn,Warminsko-Mazurskie,Brzozowa,53,28
98,80-761,Gdansk,Pomorskie,Polna,31,29
99,35-085,Rzeszow,Podkarpackie,Koscielna,25,28
100,10-900,Olsztyn,Warminsko-Mazurskie,Parkowa,0,34
101,10-900,Olsztyn,Warminsko-Mazurskie,Krotka,70,15
102,31-403,Krakow,Malopolskie,Lakowa,65,10
103,51-416,Wroclaw,Dolnoslaskie,Krotka,34,43
104,31-403,Krakow,Malopolskie,Sloneczna,54,33
105,10-900,Olsztyn,Warminsko-Mazurskie,Zielona,71,25
106,20-218,Lublin,Lubelskie,Szkolna,24,8
107,80-761,Gdansk,Pomorskie,Sosnowa,31,31
108,40-203,Katowice,Slaskie,Brzozowa,85,18
109,20-218,Lublin,Lubelskie,Ogrodowa,57,50
110,20-218,Lublin,Lubelskie,Parkowa,29,30
111,20-218,Lublin,Lubelskie,Koscielna,52,19
112,25-900,Kielce,Swietokrzyskie,Lipowa,25,9
113,25-900,Kielce,Swietokrzyskie,Lakowa,50,43
114,10-900,Olsztyn,Warminsko-Mazurskie,Zielona,83,45
115,31-403,Krakow,Malopolskie,Kolejowa,91,4
116,85-461,Bydgoszcz,Kujawsko-Pomorskie,Szkolna,35,48
117,10-900,Olsztyn,Warminsko-Mazurskie,Koscielna,66,42
118,65-751,Zielona Gora,Lubuskie,Kwiatowa,8,16
119,65-751,Zielona Gora,Lubuskie,Koscielna,26,3
120,25-900,Kielce,Swietokrzyskie,Lakowa,56,24
121,85-461,Bydgoszcz,Kujawsko-Pomorskie,Polna,42,40
122,90-001,Lodz,Lodzkie,Lakowa,99,15
123,60-967,Poznan,Wielkopolskie,Lakowa,68,35
124,80-761,Gdansk,Pomorskie,Ogrodowa,85,45
125,65-751,Zielona Gora,Lubuskie,Lakowa,97,37
126,60-967,Poznan,Wielkopolskie,Brzozowa,54,42
127,85-461,Bydgoszcz,Kujawsko-Pomorskie,Brzozowa,4,41
128,45-309,Opole,Opolskie,Koscielna,72,13
129,35-085,Rzeszow,Podkarpackie,Lipowa,59,34
130,40-203,Katowice,Slaskie,Zielona,49,27
131,40-203,Katowice,Slaskie,Lesna,76,17
132,51-416,Wroclaw,Dolnoslaskie,Akacjowa,80,45
133,20-218,Lublin,Lubelskie,Kwiatowa,88,9
134,01-464,Warszawa,Mazowieckie,Parkowa,96,5
135,31-403,Krakow,Malopolskie,Ogrodowa,34,49
136,90-001,Lodz,Lodzkie,Szkolna,44,46
137,80-761,Gdansk,Pomorskie,Lipowa,80,7
138,20-218,Lublin,Lubelskie,Parkowa,84,10
139,51-416,Wroclaw,Dolnoslaskie,Polna,61,38
140,15-102,Bialystok,Podlaskie,Lakowa,78,20
141,01-464,Warszawa,Mazowieckie,Szkolna,45,46
142,65-751,Zielona Gora,Lubuskie,Lipowa,25,46
143,45-309,Opole,Opolskie,Akacjowa,52,13
144,90-001,Lodz,Lodzkie,Polna,69,23
145,25-900,Kielce,Swietokrzyskie,Parkowa,63,50
146,65-751,Zielona Gora,Lubuskie,Sloneczna,32,46
147,35-085,Rzeszow,Podkarpackie,Lesna,60,36
148,71-004,Szczecin,Zachodnio-Pomorskie,Lakowa,2,43
149,60-967,Poznan,Wielkopolskie,Koscielna,41,3
150,15-102,Bialystok,Podlaskie,Lakowa,61,30
151,10-900,Olsztyn,Warminsko-Mazurskie,Akacjowa,89,37
152,45-309,Opole,Opolskie,Krotka,17,12
153,35-085,Rzeszow,Podkarpackie,Parkowa,25,41
154,85-461,Bydgoszcz,Kujawsko-Pomorskie,Koscielna,77,33
155,80-761,Gdansk,Pomorskie,Akacjowa,21,22
156,45-309,Opole,Opolskie,Krotka,4,23
157,15-102,Bialystok,Podlaskie,Kwiatowa,12,39
158,20-218,Lublin,Lubelskie,Krotka,16,9
159,25-900,Kielce,Swietokrzyskie,Kwiatowa,47,16
160,60-967,Poznan,Wielkopolskie,Lesna,98,46
161,51-416,Wroclaw,Dolnoslaskie,Kolejowa,65,34
162,80-761,Gdansk,Pomorskie,Zielona,4,23
163,65-751,Zielona Gora,Lubuskie,Koscielna,59,12
164,90-001,Lodz,Lodzkie,Kolejowa,25,4
165,35-085,Rzeszow,Podkarpackie,Lakowa,6,15
166,60-967,Poznan,Wielkopolskie,Krotka,75,24
167,31-403,Krakow,Malopolskie,Akacjowa,75,45
168,40-203,Katowice,Slaskie,Zielona,92,14
169,60-967,Poznan,Wielkopolskie,Parkowa,18,12
170,01-464,Warszawa,Mazowieckie,Lakowa,28,43
171,85-461,Bydgoszcz,Kujawsko-Pomorskie,Lipowa,96,21
172,65-751,Zielona Gora,Lubuskie,Zielona,7,17
173,80-761,Gdansk,Pomorskie,Brzozowa,58,7
174,01-464,Warszawa,Mazowieckie,Kwiatowa,69,22
175,85-461,Bydgoszcz,Kujawsko-Pomorskie,Brzozowa,24,9
176,85-461,Bydgoszcz,Kujawsko-Pomorskie,Koscielna,89,11
177,10-900,Olsztyn,Warminsko-Mazurskie,Koscielna,7,1
178,31-403,Krakow,Malopolskie,Kwiatowa,33,49
179,90-001,Lodz,Lodzkie,Ogrodowa,50,19
180,51-416,Wroclaw,Dolnoslaskie,Ogrodowa,21,11
181,10-900,Olsztyn,Warminsko-Mazurskie,Parkowa,45,44
182,65-751,Zielona Gora,Lubuskie,Akacjowa,39,41
183,85-461,Bydgoszcz,Kujawsko-Pomorskie,Krotka,89,18
184,10-900,Olsztyn,Warminsko-Mazurskie,Ogrodowa,3,15
185,01-464,Warszawa,Mazowieckie,Lipowa,9,5
186,01-464,Warszawa,Mazowieckie,Parkowa,87,7
187,20-218,Lublin,Lubelskie,Kolejowa,78,24
188,85-461,Bydgoszcz,Kujawsko-Pomorskie,Krotka,24,19
189,65-751,Zielona Gora,Lubuskie,Zielona,67,23
190,40-203,Katowice,Slaskie,Lesna,23,50
191,65-751,Zielona Gora,Lubuskie,Kolejowa,41,12
192,20-218,Lublin,Lubelskie,Ogrodowa,5,39
193,45-309,Opole,Opolskie,Sosnowa,76,8
194,85-461,Bydgoszcz,Kujawsko-Pomorskie,Lesna,39,8
195,40-203,Katowice,Slaskie,Zielona,19,49
196,90-001,Lodz,Lodzkie,Lipowa,6,15
197,65-751,Zielona Gora,Lubuskie,Zielona,28,14
198,15-102,Bialystok,Podlaskie,Akacjowa,39,32
199,35-085,Rzeszow,Podkarpackie,Sosnowa,61,3
200,20-218,Lublin,Lubelskie,Sloneczna,55,16
201,85-461,Bydgoszcz,Kujawsko-Pomorskie,Parkowa,44,29
202,71-004,Szczecin,Zachodnio-Pomorskie,Sosnowa,64,9
203,90-001,Lodz,Lodzkie,Lakowa,91,31
204,31-403,Krakow,Malopolskie,Parkowa,46,14
205,40-203,Katowice,Slaskie,Zielona,20,29
206,31-403,Krakow,Malopolskie,Kwiatowa,90,9
207,10-900,Olsztyn,Warminsko-Mazurskie,Brzozowa,29,8
208,20-218,Lublin,Lubelskie,Krotka,66,46
209,71-004,Szczecin,Zachodnio-Pomorskie,Koscielna,40,6
210,10-900,Olsztyn,Warminsko-Mazurskie,Akacjowa,58,9
211,85-461,Bydgoszcz,Kujawsko-Pomorskie,Szkolna,72,37
212,01-464,Warszawa,Mazowieckie,Zielona,12,39
213,01-464,Warszawa,Mazowieckie,Polna,66,23
214,85-461,Bydgoszcz,Kujawsko-Pomorskie,Kwiatowa,65,10
215,85-461,Bydgoszcz,Kujawsko-Pomorskie,Akacjowa,89,14
216,35-085,Rzeszow,Podkarpackie,Sloneczna,33,20
217,51-416,Wroclaw,Dolnoslaskie,Szkolna,85,41
218,35-085,Rzeszow,Podkarpackie,Krotka,38,5
219,80-761,Gdansk,Pomorskie,Parkowa,7,20
220,85-461,Bydgoszcz,Kujawsko-Pomorskie,Lipowa,85,2
221,10-900,Olsztyn,Warminsko-Mazurskie,Brzozowa,27,17
222,90-001,Lodz,Lodzkie,Kolejowa,18,32
223,85-461,Bydgoszcz,Kujawsko-Pomorskie,Zielona,12,6
224,40-203,Katowice,Slaskie,Akacjowa,12,25
225,51-416,Wroclaw,Dolnoslaskie,Brzozowa,39,49
226,90-001,Lodz,Lodzkie,Zielona,67,33
227,20-218,Lublin,Lubelskie,Lipowa,44,23
228,01-464,Warszawa,Mazowieckie,Sloneczna,7,44
229,71-004,Szczecin,Zachodnio-Pomorskie,Koscielna,55,25
230,80-761,Gdansk,Pomorskie,Polna,83,47
231,10-900,Olsztyn,Warminsko-Mazurskie,Krotka,43,26
232,35-085,Rzeszow,Podkarpackie,Kolejowa,91,21
233,35-085,Rzeszow,Podkarpackie,Kolejowa,30,40
234,71-004,Szczecin,Zachodnio-Pomorskie,Kolejowa,1,18
235,80-761,Gdansk,Pomorskie,Lesna,27,31
236,80-761,Gdansk,Pomorskie,Brzozowa,64,40
237,10-900,Olsztyn,Warminsko-Mazurskie,Parkowa,50,5
238,65-751,Zielona Gora,Lubuskie,Kolejowa,28,40
239,15-102,Bialystok,Podlaskie,Zielona,38,8
240,40-203,Katowice,Slaskie,Lesna,99,35
241,10-900,Olsztyn,Warminsko-Mazurskie,Kolejowa,98,1
242,15-102,Bialystok,Podlaskie,Akacjowa,16,47
243,90-001,Lodz,Lodzkie,Krotka,95,12
244,71-004,Szczecin,Zachodnio-Pomorskie,Ogrodowa,40,13
245,01-464,Warszawa,Mazowieckie,Kolejowa,87,1
246,20-218,Lublin,Lubelskie,Polna,31,14
247,15-102,Bialystok,Podlaskie,Krotka,21,40
248,80-761,Gdansk,Pomorskie,Kwiatowa,99,42
249,25-900,Kielce,Swietokrzyskie,Lesna,6,6
250,15-102,Bialystok,Podlaskie,Lesna,45,18
251,20-218,Lublin,Lubelskie,Krotka,17,14
252,65-751,Zielona Gora,Lubuskie,Szkolna,9,11
253,10-900,Olsztyn,Warminsko-Mazurskie,Sloneczna,43,13
254,01-464,Warszawa,Mazowieckie,Sloneczna,10,16
255,80-761,Gdansk,Pomorskie,Krotka,16,47
256,60-967,Poznan,Wielkopolskie,Koscielna,91,8
257,25-900,Kielce,Swietokrzyskie,Koscielna,31,29
258,51-416,Wroclaw,Dolnoslaskie,Kolejowa,39,27
259,25-900,Kielce,Swietokrzyskie,Lipowa,97,50
260,71-004,Szczecin,Zachodnio-Pomorskie,Kwiatowa,41,46
261,85-461,Bydgoszcz,Kujawsko-Pomorskie,Akacjowa,22,25
262,60-967,Poznan,Wielkopolskie,Kwiatowa,20,14
263,85-461,Bydgoszcz,Kujawsko-Pomorskie,Krotka,26,43
264,01-464,Warszawa,Mazowieckie,Zielona,32,12
265,40-203,Katowice,Slaskie,Kwiatowa,57,29
266,90-001,Lodz,Lodzkie,Parkowa,66,31
267,35-085,Rzeszow,Podkarpackie,Parkowa,59,36
268,80-761,Gdansk,Pomorskie,Kwiatowa,56,41
269,85-461,Bydgoszcz,Kujawsko-Pomorskie,Polna,52,37
270,25-900,Kielce,Swietokrzyskie,Sosnowa,42,13
271,35-085,Rzeszow,Podkarpackie,Lakowa,76,42
272,85-461,Bydgoszcz,Kujawsko-Pomorskie,Parkowa,21,1
273,60-967,Poznan,Wielkopolskie,Sosnowa,44,41
274,25-900,Kielce,Swietokrzyskie,Lipowa,7,40
275,15-102,Bialystok,Podlaskie,Akacjowa,94,17
276,35-085,Rzeszow,Podkarpackie,Polna,32,3
277,15-102,Bialystok,Podlaskie,Polna,21,2
278,40-203,Katowice,Slaskie,Parkowa,2,34
279,80-761,Gdansk,Pomorskie,Lesna,86,35
280,25-900,Kielce,Swietokrzyskie,Krotka,2,8
281,80-761,Gdansk,Pomorskie,Sosnowa,23,11
282,25-900,Kielce,Swietokrzyskie,Sosnowa,45,2
283,01-464,Warszawa,Mazowieckie,Sosnowa,60,49
284,20-218,Lublin,Lubelskie,Parkowa,71,39
285,85-461,Bydgoszcz,Kujawsko-Pomorskie,Brzozowa,40,4
286,71-004,Szczecin,Zachodnio-Pomorskie,Brzozowa,94,49
287,51-416,Wroclaw,Dolnoslaskie,Krotka,32,4
288,31-403,Krakow,Malopolskie,Akacjowa,23,45
289,85-461,Bydgoszcz,Kujawsko-Pomorskie,Polna,51,49
290,40-203,Katowice,Slaskie,Parkowa,60,43
291,10-900,Olsztyn,Warminsko-Mazurskie,Lakowa,71,24
292,71-004,Szczecin,Zachodnio-Pomorskie,Parkowa,12,42
293,90-001,Lodz,Lodzkie,Sosnowa,42,10
294,60-967,Poznan,Wielkopolskie,Kwiatowa,50,1
295,31-403,Krakow,Malopolskie,Lipowa,85,27
296,15-102,Bialystok,Podlaskie,Lakowa,33,24
297,71-004,Szczecin,Zachodnio-Pomorskie,Szkolna,44,33
298,90-001,Lodz,Lodzkie,Polna,64,27
299,90-001,Lodz,Lodzkie,Koscielna,39,29
300,20-218,Lublin,Lubelskie,Akacjowa,43,48
301,65-751,Zielona Gora,Lubuskie,Sloneczna,51,48
302,71-004,Szczecin,Zachodnio-Pomorskie,Lakowa,32,31
303,01-464,Warszawa,Mazowieckie,Kolejowa,10,9
304,35-085,Rzeszow,Podkarpackie,Akacjowa,11,11
305,20-218,Lublin,Lubelskie,Sosnowa,58,25
306,60-967,Poznan,Wielkopolskie,Kwiatowa,42,48
307,85-461,Bydgoszcz,Kujawsko-Pomorskie,Lesna,34,30
308,40-203,Katowice,Slaskie,Kolejowa,85,36
309,15-102,Bialystok,Podlaskie,Sosnowa,51,14
310,31-403,Krakow,Malopolskie,Koscielna,90,27
311,31-403,Krakow,Malopolskie,Koscielna,31,48
312,90-001,Lodz,Lodzkie,Lakowa,1,33
313,40-203,Katowice,Slaskie,Ogrodowa,21,31
314,35-085,Rzeszow,Podkarpackie,Zielona,65,50
315,15-102,Bialystok,Podlaskie,Zielona,58,15
316,10-900,Olsztyn,Warminsko-Mazurskie,Lakowa,13,7
317,65-751,Zielona Gora,Lubuskie,Koscielna,13,8
318,45-309,Opole,Opolskie,Lakowa,55,40
319,31-403,Krakow,Malopolskie,Sloneczna,48,38
320,20-218,Lublin,Lubelskie,Brzozowa,76,32
321,65-751,Zielona Gora,Lubuskie,Sloneczna,56,47
322,65-751,Zielona Gora,Lubuskie,Kolejowa,97,35
323,60-967,Poznan,Wielkopolskie,Sosnowa,61,20
324,25-900,Kielce,Swietokrzyskie,Akacjowa,27,17
325,90-001,Lodz,Lodzkie,Brzozowa,38,40
326,10-900,Olsztyn,Warminsko-Mazurskie,Lakowa,68,21
327,40-203,Katowice,Slaskie,Polna,25,4
328,65-751,Zielona Gora,Lubuskie,Krotka,95,28
329,35-085,Rzeszow,Podkarpackie,Lipowa,40,16
330,25-900,Kielce,Swietokrzyskie,Sosnowa,47,1
331,51-416,Wroclaw,Dolnoslaskie,Kwiatowa,73,21
332,85-461,Bydgoszcz,Kujawsko-Pomorskie,Lipowa,96,21
333,31-403,Krakow,Malopolskie,Akacjowa,82,27
334,20-218,Lublin,Lubelskie,Koscielna,3,24
335,80-761,Gdansk,Pomorskie,Ogrodowa,89,20
336,85-461,Bydgoszcz,Kujawsko-Pomorskie,Parkowa,6,10
337,01-464,Warszawa,Mazowieckie,Lesna,21,36
338,31-403,Krakow,Malopolskie,Lesna,98,50
339,85-461,Bydgoszcz,Kujawsko-Pomorskie,Szkolna,6,43
340,40-203,Katowice,Slaskie,Parkowa,34,38
341,15-102,Bialystok,Podlaskie,Koscielna,13,4
342,10-900,Olsztyn,Warminsko-Mazurskie,Lipowa,6,20
343,20-218,Lublin,Lubelskie,Polna,97,14
344,51-416,Wroclaw,Dolnoslaskie,Koscielna,29,11
345,60-967,Poznan,Wielkopolskie,Kwiatowa,63,8
346,31-403,Krakow,Malopolskie,Lakowa,34,32
347,01-464,Warszawa,Mazowieckie,Lesna,50,5
348,40-203,Katowice,Slaskie,Brzozowa,47,8
349,71-004,Szczecin,Zachodnio-Pomorskie,Brzozowa,15,21
350,51-416,Wroclaw,Dolnoslaskie,Ogrodowa,88,50
351,65-751,Zielona Gora,Lubuskie,Kwiatowa,5,48
352,71-004,Szczecin,Zachodnio-Pomorskie,Szkolna,1,40
353,35-085,Rzeszow,Podkarpackie,Zielona,50,14
354,40-203,Katowice,Slaskie,Lakowa,99,39
355,10-900,Olsztyn,Warminsko-Mazurskie,Sloneczna,67,13
356,25-900,Kielce,Swietokrzyskie,Parkowa,15,36
357,71-004,Szczecin,Zachodnio-Pomorskie,Lipowa,91,14
358,31-403,Krakow,Malopolskie,Akacjowa,86,22
359,35-085,Rzeszow,Podkarpackie,Sosnowa,5,49
360,10-900,Olsztyn,Warminsko-Mazurskie,Akacjowa,29,8
361,45-309,Opole,Opolskie,Polna,21,8
362,35-085,Rzeszow,Podkarpackie,Brzozowa,66,35
363,71-004,Szczecin,Zachodnio-Pomorskie,Ogrodowa,90,3
364,25-900,Kielce,Swietokrzyskie,Lakowa,44,33
365,15-102,Bialystok,Podlaskie,Sosnowa,34,1
366,45-309,Opole,Opolskie,Koscielna,71,37
367,25-900,Kielce,Swietokrzyskie,Krotka,28,1
368,15-102,Bialystok,Podlaskie,Sosnowa,69,9
369,85-461,Bydgoszcz,Kujawsko-Pomorskie,Kolejowa,61,21
370,51-416,Wroclaw,Dolnoslaskie,Akacjowa,46,22
371,71-004,Szczecin,Zachodnio-Pomorskie,Lipowa,23,23
372,35-085,Rzeszow,Podkarpackie,Parkowa,16,17
373,15-102,Bialystok,Podlaskie,Parkowa,0,22
374,25-900,Kielce,Swietokrzyskie,Sosnowa,35,40
375,35-085,Rzeszow,Podkarpackie,Parkowa,52,44
376,20-218,Lublin,Lubelskie,Lipowa,18,41
377,45-309,Opole,Opolskie,Sosnowa,78,15
378,90-001,Lodz,Lodzkie,Kwiatowa,39,33
379,10-900,Olsztyn,Warminsko-Mazurskie,Kwiatowa,74,23
380,60-967,Poznan,Wielkopolskie,Lesna,86,33
381,25-900,Kielce,Swietokrzyskie,Lakowa,37,24
382,01-464,Warszawa,Mazowieckie,Koscielna,62,23
383,31-403,Krakow,Malopolskie,Sosnowa,83,33
384,20-218,Lublin,Lubelskie,Koscielna,63,41
385,15-102,Bialystok,Podlaskie,Ogrodowa,23,44
386,10-900,Olsztyn,Warminsko-Mazurskie,Lesna,5,6
387,45-309,Opole,Opolskie,Koscielna,74,26
388,10-900,Olsztyn,Warminsko-Mazurskie,Kolejowa,87,40
389,60-967,Poznan,Wielkopolskie,Parkowa,17,7
390,15-102,Bialystok,Podlaskie,Sloneczna,37,13
391,90-001,Lodz,Lodzkie,Parkowa,89,8
392,60-967,Poznan,Wielkopolskie,Akacjowa,20,3
393,25-900,Kielce,Swietokrzyskie,Lipowa,62,24
394,85-461,Bydgoszcz,Kujawsko-Pomorskie,Akacjowa,5,41
395,90-001,Lodz,Lodzkie,Kolejowa,53,6
396,01-464,Warszawa,Mazowieckie,Parkowa,94,38
397,60-967,Poznan,Wielkopolskie,Ogrodowa,31,34
398,51-416,Wroclaw,Dolnoslaskie,Parkowa,83,19
399,35-085,Rzeszow,Podkarpackie,Lesna,4,15
400,15-102,Bialystok,Podlaskie,Lesna,53,15
401,60-967,Poznan,Wielkopolskie,Lesna,81,23
402,40-203,Katowice,Slaskie,Polna,50,27
403,71-004,Szczecin,Zachodnio-Pomorskie,Szkolna,53,15
404,71-004,Szczecin,Zachodnio-Pomorskie,Lesna,35,36
405,25-900,Kielce,Swietokrzyskie,Kwiatowa,36,5
406,01-464,Warszawa,Mazowieckie,Kwiatowa,92,38
407,80-761,Gdansk,Pomorskie,Lesna,34,3
408,80-761,Gdansk,Pomorskie,Lipowa,43,15
409,25-900,Kielce,Swietokrzyskie,Kolejowa,45,12
410,35-085,Rzeszow,Podkarpackie,Brzozowa,53,23
411,40-203,Katowice,Slaskie,Sosnowa,18,44
412,65-751,Zielona Gora,Lubuskie,Lakowa,94,7
413,60-967,Poznan,Wielkopolskie,Parkowa,60,40
414,20-218,Lublin,Lubelskie,Zielona,84,11
415,40-203,Katowice,Slaskie,Sloneczna,41,4
416,10-900,Olsztyn,Warminsko-Mazurskie,Lipowa,45,42
417,10-900,Olsztyn,Warminsko-Mazurskie,Zielona,46,42
418,10-900,Olsztyn,Warminsko-Mazurskie,Ogrodowa,16,40
419,85-461,Bydgoszcz,Kujawsko-Pomorskie,Ogrodowa,94,39
420,51-416,Wroclaw,Dolnoslaskie,Parkowa,51,18
421,15-102,Bialystok,Podlaskie,Ogrodowa,71,2
422,15-102,Bialystok,Podlaskie,Sloneczna,48,4
423,45-309,Opole,Opolskie,Lakowa,79,44
424,65-751,Zielona Gora,Lubuskie,Zielona,87,29
425,35-085,Rzeszow,Podkarpackie,Sosnowa,95,20
426,35-085,Rzeszow,Podkarpackie,Kolejowa,77,34
427,25-900,Kielce,Swietokrzyskie,Kwiatowa,27,13
428,85-461,Bydgoszcz,Kujawsko-Pomorskie,Polna,39,23
429,51-416,Wroclaw,Dolnoslaskie,Lakowa,76,35
430,71-004,Szczecin,Zachodnio-Pomorskie,Akacjowa,31,41
431,31-403,Krakow,Malopolskie,Ogrodowa,92,8
432,85-461,Bydgoszcz,Kujawsko-Pomorskie,Polna,13,7
433,45-309,Opole,Opolskie,Brzozowa,9,11
434,80-761,Gdansk,Pomorskie,Sloneczna,47,42
435,45-309,Opole,Opolskie,Lakowa,14,2
436,51-416,Wroclaw,Dolnoslaskie,Brzozowa,17,11
437,31-403,Krakow,Malopolskie,Lesna,68,47
438,71-004,Szczecin,Zachodnio-Pomorskie,Kolejowa,94,39
439,20-218,Lublin,Lubelskie,Lakowa,38,50
440,20-218,Lublin,Lubelskie,Kolejowa,56,50
441,20-218,Lublin,Lubelskie,Ogrodowa,89,2
442,60-967,Poznan,Wielkopolskie,Zielona,87,49
443,15-102,Bialystok,Podlaskie,Lipowa,43,20
444,31-403,Krakow,Malopolskie,Polna,10,17
445,65-751,Zielona Gora,Lubuskie,Lesna,87,44
446,90-001,Lodz,Lodzkie,Sosnowa,59,21
